Code INSEE,Code Postal,Commune,Superficie,Code Département,Code Région
11116,11590,CUXAC-D'AUDE,2179.0,11,91
80350,80800,FRANVILLERS,480.0,80,22
30178,30150,MONTFAUCON,407.0,30,91
17074,17210,BUSSAC-FORET,3504.0,17,54
22292,22330,SAINT-GILLES-DU-MENE,1314.0,22,53
24026,24330,BASSILLAC,1877.0,24,72
51077,51140,BOUVANCOURT,1307.0,51,21
72207,72600,MONTIGNY,385.0,72,52
52109,52110,CHARMES-EN-L'ANGLE,738.0,52,21
85065,85250,CHAVAGNES-EN-PAILLERS,4045.0,85,52
37167,37360,NEUILLE-PONT-PIERRE,3914.0,37,24
09030,09220,AUZAT,16309.0,09,73
54399,54290,NEUVILLER-SUR-MOSELLE,694.0,54,41
02782,02490,LE VERGUIER,431.0,02,22
74233,74540,SAINT-FELIX,656.0,74,82
47192,47290,MONVIEL,625.0,47,72
02347,02400,GLAND,557.0,02,22
34330,34400,VERARGUES,558.0,34,91
22311,22130,SAINT-LORMEL,1012.0,22,53
56060,56200,LES FOUGERETS,2006.0,56,53
76214,76590,DENESTANVILLE,264.0,76,23
62163,62270,BOURET-SUR-CANCHE,503.0,62,31
16110,16240,COURCOME,1972.0,16,54
59361,59156,LOURCHES,269.0,59,31
07109,07110,JOANNAS,1208.0,07,82
54524,54800,THUMEREVILLE,801.0,54,41
64139,64290,BOSDARROS,2464.0,64,72
08228,08430,LA HORGNE,530.0,08,21
40126,40180,HINX,1468.0,40,72
30339,30570,VALLERAUGUE,7900.0,30,91
06055,06670,DURANUS,1605.0,06,93
49054,49440,CANDE,488.0,49,52
74297,74150,VERSONNEX,420.0,74,82
42005,42160,ANDREZIEUX-BOUTHEON,1588.0,42,82
61473,61150,SEVRAI,823.0,61,25
61163,61450,LA FERRIERE-AUX-ETANGS,1114.0,61,25
51034,51270,BANNAY,715.0,51,21
66009,66150,ARLES-SUR-TECH,2891.0,66,91
2A212,20115,PIANA,6327.0,2A,94
62457,62150,HOUDAIN,628.0,62,31
71203,71120,FONTENAY,250.0,71,26
67016,67120,AVOLSHEIM,179.0,67,42
65394,65150,SAINT-PAUL,691.0,65,73
35242,35560,RIMOU,1356.0,35,53
70023,70800,ANJEUX,875.0,70,43
76265,76270,FLAMETS-FRETILS,1236.0,76,23
17048,17160,BLANZAC-LES-MATHA,959.0,17,54
21014,21360,ANTHEUIL,1020.0,21,26
18279,18100,VIERZON,7475.0,18,24
23190,23190,SAINT-DOMET,1562.0,23,74
30160,30350,MARUEJOLS-LES-GARDON,378.0,30,91
28259,28800,MONTBOISSIER,1419.0,28,24
26198,26200,MONTELIMAR,4640.0,26,82
25061,25190,BIEF,374.0,25,43
17184,17620,LA GRIPPERIE-SAINT-SYMPHORIEN,1867.0,17,54
67106,67410,DRUSENHEIM,1588.0,67,42
49362,49400,VARRAINS,345.0,49,52
28362,28240,SAINT-VICTOR-DE-BUTHON,2821.0,28,24
72192,72260,LES MEES,683.0,72,52
92062,92800,PUTEAUX,318.0,92,11
04194,06260,SAINT-PIERRE,554.0,04,93
63391,63440,SAINT-REMY-DE-BLOT,1532.0,63,83
